ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
ShowView	Показать вид с использованием программного идентификатора	View	Показать вид с использованием программного идентификатора Показать вид с использованием программного идентификатора			ViewProgID:string=ImageDoc.ImageView		
CanConvertToGray	CanConvertToGray	Вид	CanConvertToGray CanConvertToGray					
ConvertImage	Конвертирование изображения...	Изображение	Перевести изображение в другую цветовую модель Конвертирование изображения	 (filter)		newColorSystem:string; DeleteArg:int=-1; Source:Image	Converted:Image	
MacroRecord	Записать новый макрос	Tools	Записать новый макрос Записать новый макрос					
MeasManualFreeLine	Длина произвольной линии	Измерения	Измерить длину произвольной линии Длина произвольной линии	 (interactive)				
MeasManualSpline	Длина линии сплайном	Измерения	Измерить длину линии сплайном Длина линии сплайном	 (interactive)				
MeasManualCount	Подсчет количества	Измерения	Подсчет количества объектов. Левая кнопка мыши-подсчет, правая-завершение. Подсчет количества	 (interactive)				
MeasManualLine	Длина прямой линии	Измерения	Измерить длину прямой линии Длина прямой линии	 (interactive)				
MeasManualBrokenLine	Длина ломаной линии	Измерения	Измерить длину ломаной линии Длина ломаной линии	 (interactive)				
MeasManualCycle2	Радиус по 2 точкам	Измерения	Измерить радиус по 2 точкам Радиус по 2 точкам	 (interactive)				
MeasManualCycle3	Радиус по 3 точкам	Измерения	Измерить радиус по 3 точкам Радиус по 3 точкам	 (interactive)				
MeasManualAngle3Point	Угол по 3 точкам	Измерения	Измерить угол по 3 точкам Угол по 3 точкам	 (interactive)				
MeasManualAngle2Line	Угол по 2 линиям	Измерения	Измерить угол по двум линиям Угол по 2 линиям	 (interactive)				
MeasManualParallel	Расстояние между параллельными линиями	Измерения	Расстояние между параллельными линиями. Левая кнопка мыши-измерить, правая-закончить. Расстояние между параллельными линиями	 (interactive)				
MtdClearMethod	Удалить все шаги	Методика	Удаление всех шагов методики Удаление всех шагов методики			MethodName:string; ShowWarning:int=1		
MtdInsertMsgStep	Вставить сообщение	Методика	Вставить сообщение в активную методику Вставить сообщение в активную методику			Message:string; ShowResult:int=1		
ExportScript	ExportScript	Method	ExportScript ExportScript			FileName:string		
MethodRedo	MethodRedo	Method	MethodRedo MethodRedo					
MethodUndo	MethodUndo	Method	MethodUndo MethodUndo					
MtdDeleteMethod	Удалить методику	Методика	Удалить методику Удалить методику			MethodName:string; ShowWarning:int=1		
MtdCopyMethod	Копировать методику	Методика	Копировать методику Копировать методику			MethodName:string; Activate:int=1		
MtdSaveMethod	MtdSaveMethod	Method	MtdSaveMethod MtdSaveMethod			MethodName:string		
MtdCreateMethod	Новая методика	Методика	Новая методика Новая методика			MethodName:string; Activate:int=1		
MtdRunStop	Старт методики	Методика	Запустить или остановить методику Старт методики					
MtdList	Список методик	Методика	Список методик Список методик					
MtdAddItem	MtdAddItemt	Method	MtdAddItem MtdAddItem					
MethodOpen	MethodOpen	Method	MethodOpen MethodOpen			PanePath:string; Open:int=1		
MtdRemoveItem	MtdRemoveItemt	Method	MtdRemoveItem MtdRemoveItem					
StoreMtdContent	StoreMtdContent	Method	StoreMtdContent StoreMtdContent			FileName:string		
LoadMtdContent	LoadMtdContent	Method	LoadMtdContent LoadMtdContent			FileName:string		
RemoveMtdPane	RemoveMtdPane	Method	RemoveMtdPane RemoveMtdPane					
AddMtdPane	AddMtdPane	Method	AddMtdPane AddMtdPane			PaneName:string		
TriggerSequence	Последовательный ввод по внешнему сигналу	Ввод	Последовательный ввод по внешнему сигналу Последовательный ввод по внешнему сигналу					
DoTrigger	Программный триггер	Ввод	Эмуляция срабатывания внешнего сигнала Программный триггер					
TriggerMode	Ввод по триггеру	Ввод	Ввод изображения по внешнему сигналу Ввод по триггеру					
DriverDlg	Настройки драйвера камеры	Ввод	Настройки драйвера камеры Настройки драйвера камеры			DialogName:string		
ShowPreview	Видео	Вид	Просмотр "живого видео" с видеоустройства Видео					
InputVideo	Видео	Ввод	Видео Видео			SelectDriver:int=1; DialogMode:int=1; Name:string; Configuration:string		
InputImageInCurrentDoc	Ввод изображения в активный документ	По умолчанию	Ввести изображение в активный документ Ввод изображения в активный документ			SelectDriver:int=1; DialogMode:int=1; First:int=1; Name:string; Configuration:string		
InputImage	Способ получения изображения	Ввод	Выбор способа получения изображения Способ получения изображения			SelectDriver:int=1; DialogMode:int=1; First:int=1; Name:string; Configuration:string		
RestoreSel	restore selection	По умолчанию	restore selection RestoreSel					
ImageBySel	Обрезать по рамке	Изображение	Обрезать изображение по рамке Обрезать по рамке			RestoreSel:bool=0		
SetZOrder	SetZOrder	Edit	SetZOrder SetZOrder			ParamKey:int=1; Direction:int=0		
ActiveObjectFillHoles	Заполнение дыр в активном объекте	Правка	Заполнение дыр в активном объекте Заполнение дыр в активном объекте			Size:int=0		
ActiveObjectClose	Закрытие активного объекта	Правка	Закрытие активного объекта Закрытие активного объекта			OperationsCount:int=1; MinObject:int=5		
ActiveObjectOpen	Открытие активного объекта	Правка	Открытие активного объекта Открытие активного объекта			OperationsCount:int=1; MinObject:int=5		
ActiveObjectDilate	Дилатация активного объекта	Правка	Дилатация активного объекта Дилатация активного объекта			OperationsCount:int=1		
ActiveObjectErode	Эрозия активного объекта	Правка	Эрозия активного объекта Эрозия активного объекта			OperationsCount:int=1; MinObject:int=5		
ObjectsExport	Export objects list	Edit	Export objects list Export objects list			ObjectList:string; FileName:string; ExportType:int=0; AddParamNames:int=1; DecimalSeparator:string		
MakeObjectsNonVirtual	MakeObjectsNonVirtual	Edit	MakeObjectsNonVirtual MakeObjectsNonVirtual					
MakeObjectsVirtual	MakeObjectsVirtual	Правка	MakeObjectsVirtual MakeObjectsVirtual					
MapObjectsToImage	MapObjectsToImage	Правка	MapObjectsToImage MapObjectsToImage					
SetListZOrder	SetListZOrder	Измерения	SetListZOrder SetListZOrder			ZOrder:int=0; UsedClass:int=-1; ClassifierName:string; ListName:string		
JoinAllObjects	Join all objects	Edit	Join all objects Join all objects	 (filter)		UseClasses:int=0; ClassifierName:string; InitContours:int=0; MeasObjects:Object List	TotalObject:Object List	
ReCalcOnChangeCalibr	Перемерить объекты	Измерения	Перемерить объекты в соответствии с выбранной калибровкой Перемерить объекты			ObjList:string		
CalcMeasResult	Измерить объекты	Измерения	Измерить или перемерить нанесенные объекты Измерить объекты			ObjectList:string		
ObjectMagickStick	Волшебная палочка	Измерения	Shift-добавление, Alt-вычитание Волшебная палочка	 (interactive)				
ObjectRect	Прямоугольный объект	Измерения	Shift-добавление, Alt-вычитание, Ctrl-перекрестье Прямоугольный объект	 (interactive)		Left:int=0; Top:int=0; Right:int=0; Bottom:int=0		
ObjectEllipse	Круглый объект	Измерения	Shift-добавление, Alt-вычитание Круглый объект	 (interactive)		X:int=-1; Y:int=-1; R:int=-1		
ObjectSpline	Объект сплайном	Измерения	Shift-добавление, Alt-вычитание, завершение-двойное нажатие левой кнопки Объект сплайном	 (interactive)				
ObjectFree	Произвольный объект	Измерения	Shift-добавление, Alt-вычитание Произвольный объект	 (interactive)				
ObjectRectFixed	Прямоугольный фиксированный объект	Измерения	Shift-добавление, Alt-вычитание Прямоугольный фиксированный объект	 (interactive)		X:double=-1; Y:double=-1; Width:double=0; Height:double=0; UseCalibration:int=0		
ObjectRectDirect	Прямоугольный направленный объект	Измерения	Shift-добавление, Alt-вычитание Прямоугольный направленный объект 	 (interactive)		X1:int=-1; Y1:int=-1; X2:int=-1; Y2:int=-1; Width:int=-1		
ObjectEllipseFixed	Эллиптический фиксированный объект	Измерения	Shift-добавление, Alt-вычитание Эллиптический фиксированный объект	 (interactive)		X:double=-1; Y:double=-1; Width:double=0; Height:double=0; UseCalibration:int=0		
ObjectEllipseDirect	Эллиптический направленный объект	Измерения	Shift-добавление, Alt-вычитание Эллиптический направленный объект	 (interactive)		X1:int=-1; Y1:int=-1; X2:int=-1; Y2:int=-1; Width:int=-1		
ObjectEditorSpec	Область на изображении	Измерения	Левая кнопка мыши-рисование Область на изображении	 (interactive)				
ObjectEditor	Карандаш	Измерения	Левая кнопка мыши-рисование, правая-стирание Карандаш	 (interactive)				
ObjectLine	Линейный объект	Измерения	Нанести линейный объект Линейный объект	 (interactive)				
ObjectPolyLine	Объект ломаной линией	Измерения	Нанести объект в форме ломаной линии Объект ломаной линией	 (interactive)				
ObjectsMakeLight	Облегчить объекты	Правка	Облегчить объекты Облегчить объекты	 (filter)		MeasObjects:Object List	MeasObjects light:Object List	
ObjectsSplit	Разделить объекты на классы	Правка	Разделить объекты на классы Разделить объекты на классы	 (filter)		MeasObjects:Object List		
ObjectsSetClass	Назначить класс для всех объектов в списке	Правка	Назначить класс для всех объектов в списке Назначить класс для всех объектов в списке	 (filter)		Class:string; MeasObjects:Object List	ObjectsSetClass:Object List	
ObjectsMerge	Объединить два списка объектов	Измерения	Объединить два списка объектов Объединить два списка объектов	 (filter)		MeasObjects1:Object List; MeasObjects2:Object List; VerifyType:int=0	ObjectsMerge:Object List	
ObjectsRemove	Удалить все объекты выбранного класса	Правка	Удалить все объекты выбранного класса Удалить все объекты выбранного класса	 (filter)		Class:int=-2; MeasObjects:Object List	ObjectsRemove:Object List	
AutoAssignClasses	Автоматически разделить на классы по параметрам	Правка	Автоматически разделить на классы по параметрам Автоматически разделить на классы по параметрам	 (filter)		MeasObjects:Object List	AutoAssignClasses:Object List	
ObjectScissors	Ножницы	Правка	Ножницы для разделения объектов Ножницы	 (interactive)				
ObjectFilter	Фильтрация объектов	Правка	Фильтрация объектов Фильтрация объектов	 (filter)		SectionName:string=Objects\ObjectFilter; ShowInterface:int=1; MeasObjects:Object List	ObjectFilter:Object List	
ObjectClassifyByLimits	Классифицировать объекты по пределам	Правка	Классифицировать объекты в соответствии с установленными пределами Классифицировать объекты по пределам	 (filter)		SectionName:string=Objects\ObjectLimitsClassifier; ShowInterface:int=1; MeasObjects:Object List	ObjectClassifier:Object List	
FilterObjectList	FilterObjectList	Edit	FilterObjectList FilterObjectList	 (filter)		Action:string; Params:string; LeaveVirtual:int=0; ActiveObjectOnly:int=0; ObjectList:Object List	ObjectListNew:Object List	
FindBorderObjects	Поиск объектов, граничащих с рамкой	Правка	Поиск объектов, граничащих с рамкой Поиск объектов, граничащих с рамкой	 (filter)		SrcList:Object List	DstList:Object List	
ObjectCutFrame	Отброс объектов от рамки	Правка	Отброс объектов от рамки Отброс объектов от рамки	 (filter)		SrcList:Object List	DstList:Object List	
CreateImageByList	Заливка фона	Правка	Заливка областей изображения, не являющихся объектами Заливка фона	 (filter)		Image:Image; Objects:Object List	Generated:Image	
OverlaySectionHorz	Горизонтальный график по яркости	Измерения	Создать новый горизонтальный график по яркости на изображении Горизонтальный график по яркости	 (interactive)				
OverlaySectionVert	Вертикальный график по яркости	Измерения	Создать новый вертикальный график по яркости на изображении Вертикальный график по яркости	 (interactive)				
OverlaySection	График яркости от точки до точки	Измерения	Создать новый график яркости от точки до точки на изображении График яркости от точки до точки	 (interactive)				
ReadCoords	read coords	File	read coords read coords					
ReportEditText	Редактировать текст в выбранном поле	Печать	Редактировать текст в выбранном поле Редактировать текст в выбранном поле					
Print	Печать	Печать	Печать активного документа Печать					
PrintPreview	Предварительный просмотр...	Печать	Предварительный просмотр отчета перед печатью Предварительный просмотр					
PrintDesignMode	Конструктор шаблона отчета...	Печать	Создать шаблон отчета Конструктор шаблона отчета					
PageSetup	Параметры страницы...	Печать	Параметры страницы Параметры страницы					
PrinterSetup	Настройка печати...	Печать	Настройка печати Настройка печати					
FitToPage	По размеру окна	Печать	Установить размер шаблона отчета по размеру окна По размеру окна					
FitToPageWidth	По ширине	Печать	Установить ширину шаблона отчета по ширине окна По ширине					
TemplateSetup	Установки шаблона...	Печать	Установки шаблона Установки шаблона					
PrintTemplateDelete	Удалить шаблон отчета...	Печать	Удалить шаблон отчета Удалить шаблон отчета					
ShowPreviewIndirect	Просмотр отчета	Печать	Предварительный просмотр отчета перед печатью Просмотр отчета			ReadOnly:int=1		
BeforePrintView	Сохранение контекста	Сохранение контекста	Сохранение контекста Сохранение контекста					
ExportReportToJPEG	Экспорт в JPEG	Экспорт в JPEG	Экспорт активного документа в JPEG Экспорт в JPEG			VSize:int=0		
RequestForPrintSD	Запрос данных для печати по ShellData	Edit	Запрос значений пользовательских полей для печати по ShellData Request Values For Printing from ShellData			ShowIfDataExist:int=1		
StoreForPrint	Запись данных для печати	Edit	Запись значений пользовательских полей для печати Store Values For Printing			ShowIfDataExist:int=1		
RequestForPrint	Запрос данных для печати	Edit	Запрос значений пользовательских полей для печати Request Values For Printing			ShowIfDataExist:int=1; UseReportPosition:int=0; DlgTitle:string		
RequestForDB	Запрос данных для базы	Edit	Запрос значений пользовательских полей для базы данных Запрос данных для базы			ShowIfDataExist:int=1		
ShowOptions	Установки...	Tools	Изменить установки программы Установки					
ShowScript	Показать скрипт	View	Показать скрипт Показать скрипт					
ScriptChange	Заменить скрипт	Edit	Заменить скрипт Заменить скрипт					
ScriptTerminate	Остановить скрипт	Script	Остановить скрипт Остановить скрипт					
ScriptExecute	Выполнить скрипт	Script	Выполнить скрипт Выполнить скрипт					
BreakAtNextStatement	Точка останова на следующей строке	For Developers	Точка останова на следующей строке Точка останова на следующей строке					
ToggleBreakpoint	Включить/выключить точку останова	Script	Включить/выключить точку останова Включить/выключить точку останова					
StartDebugger	Запустить программу отладки	Script	Запустить внешнюю программу отладки Запустить программу отладки					
SelectFixedRect	Фиксированная прямоугольная рамка	Рамки	Shift-добавление, Alt-вычитание, Ctrl-перекрестие Фиксированная прямоугольная рамка	 (interactive)		X:double=-1; Y:double=-1; Width:double=0; Height:double=0; UseCalibration:int=0		
FourierSelectEllipse	Эллиптическая рамка на изображении Фурье	FFT	Нанести рамку эллиптической формы на изображение Фурье Эллиптическая рамка на изображении Фурье	 (interactive)				
FourierSelectFree	Произвольная рамка на изображении Фурье	FFT	Нанести рамку произвольной формы на изображение Фурье Произвольная рамка на изображении Фурье	 (interactive)				
FourierSelectCenter	Выделить центр изображения Фурье	FFT	Нанести рамку на центр изображения Фурье Выделить центр изображения Фурье	 (interactive)				
MagickStick	Волшебная палочка	Рамки	Shift-добавление, Alt-вычитание Волшебная палочка	 (interactive)				
SelectRect	Прямоугольная рамка	Рамки	Shift-добавление, Alt-вычитание, Ctrl-перекрестие Прямоугольная рамка	 (interactive)		Left:int=0; Top:int=0; Right:int=0; Bottom:int=0		
SelectArea	Произвольная рамка	Рамки	Завершение-двойное нажатие левой кнопки мыши, Shift-добавление, Alt-вычитание Произвольная рамка	 (interactive)				
SelectAdd	Добавить рамку	Рамки	Добавить новую рамку к активной Добавить рамку			Select:int=-1		
SelectRemove	Удалить рамку	Рамки	Удалить новую рамку из активной Удалить рамку			Select:int=-1		
SelectEllipse	Круглая рамка	Рамки	Используйте Shift для добавления и Alt для вычитания рамки Круглая рамка	 (interactive)		X:int=-1; Y:int=-1; R:int=-1		
SelectInvert	Инвертировать рамку	Рамки	Инвертировать активную рамку Инвертировать рамку					
SelectSmooth	Сглаживание рамки	Рамки	Сглаживание рамки Сглаживание рамки					
SelectMakeVirtual	Виртуализировать рамку	Internal Actions	Виртуализировать рамку Виртуализировать рамку					
SelectAll	Выделить все	Рамки	Нанести рамку на все изображение Выделить все					
AddView	Добавить вид отображения в разделитель окна	Internal Actions	Добавить вид отображения в разделитель окна Добавить вид отображения в разделитель окна			Name:string		
RemoveView	Удалить вид отображения из разделителя окна	Internal Actions	Удалить вид отображения из разделителя окна Удалить вид отображения из разделителя окна					
RenameView	Переименовать вид отображения в разделителе окна	Internal Actions	Переименовать вид отображения в разделителе окна Переименовать вид отображения в разделителе окна			Name:string		
LoadViewState	Загрузить сотояние вида отображения	Internal Actions	Загрузить сотояние вида отображения Загрузить сотояние вида отображения			FileName:string		
SaveViewState	Сохранить сотояние вида отображения\Internal Actions	Сохранить сотояние вида отображения	Сохранить сотояние вида отображения Сохранить сотояние вида отображения			FileName:string		
CompareScreen	Захватить вид сравнения	Internal Actions	Захват вида сравнения Захватить вид сравнения			ImageName:string=CompareScreen		
SyncEdit	Синхронное редактирование	Вид	Синхронизировать операции редактирования Синхронное редактирование					
SyncScroll	Синхронизация изображений	Окно	Синхронизация изображений (если окно документа разделено) Синхронизация изображений			Param:string		
SyncZoom	Синхронизация изображений и увеличений	Окно	Синхронизация изображений и увеличений (если окно документа разделено) Синхронизация изображений и увеличений			Param:string		
SyncScrollRelative	Относительная синхронизация изображений	Окно	Относительная синхронизация изображений (если окно документа разделено) Относительная синхронизация изображений			Param:string		
SyncContextAll	Синхронизация содержания	Окно	Синхронизация содержания и видов отображения Синхронизация содержания			Param:string		
SyncContext	Синхронизация содержания	Окно	Синхронизация содержания и видов отображения Синхронизация содержания			Param:string		
RunTestWindow	RunTestWindow	Tests	run test window RunTestWindow					
EditTestDB	EditTestDB	Tests	edit tests database EditTestDB					
ShowThumbnail	Показать кадр	Data	Показать кадр Показать кадр					
InteractiveZoom	Интерактиваная лупа	Вид	Левой кнопкой мыши открыть выпадающий список, движком изменить увеличение Интерактиваная лупа					
ZoomFit	Set Fit to Window On	View	Set Fit to Window On Set Fit to Window On					
ZoomIn	Увеличение	Вид	Увеличить изображение Увеличение					
ZoomOut	Уменьшение	Вид	Уменьшение изображения Уменьшение					
Zoom41	Уменьшение 4:1	Вид	Уменьшить изображение 4:1 Уменьшение 4:1					
Zoom31	Уменьшение 3:1	Вид	Уменьшить изображение 3:1 Уменьшение 3:1					
Zoom21	Уменьшение 2:1	Вид	Уменьшить изображения 2:1 Уменьшение 2:1					
Zoom12	Увеличение 1:2	Вид	Увеличить изображение 1:2 Увеличение 1:2					
Zoom13	Увеличение 1:3	Вид	Увеличить изображение 1:3 Увеличение 1:3					
Zoom14	Увеличение 1:4	Вид	Увеличить изображение 1:4 Увеличение 1:4					
ZoomNormal	Увеличение 1:1	Вид	Увеличить изображение 1:1 Увеличение 1:1					
Zoom	Лупа	Вид	Левая кнопка мыши: увеличение, +Shift: уменьшение, правая кнопка: исх. изображение Лупа	 (interactive)		Zoom:double=0		
FitDoc2Screen	Размер изображения по экрану	Вид	Устанавить размер изображения по размеру экрана Размер изображения по экрану			MaxZoom:double=100.0		
Fit2Image	Размер окна по изображению	Вид	Установить размер окна документа по изображению Размер окна по изображению					
InteractiveScroll	Прокрутка изображения	Вид	Удерживая левую кнопку мыши, просматривайте изображение в любом направлении Прокрутка изображения	 (interactive)				
ClassesArrange	Упорядочить классы	Classification	Упорядочить классы			ClassList:Class List		
ShowApportionment	Показать распределение	Вид	Показать распределение					
AviSignature	AviSignature	AVI	AviSignature					
ShowAviGallery	Показать галерею AVI	AVI	Показать галерею AVI					
AviStop	Стоп	AVI	Стоп					
AviPlay	Показать AVI файл	AVI	Показать AVI файл	 (interactive)				
AviMoveTo	Перейти	AVI	Перейти			FrameNum:int=1		
AviMovePrev	Предыдущий	AVI	Показать предыдущий кадр					
AviMoveLast	Последний	AVI	Показать последний кадр					
AviMoveNext	Следующий	AVI	Показать следующий кадр					
AviMoveFirst	Первый	AVI	Показать первый кадр					
InsertAviObject	Добавить AVI-объект	AVI	Добавление AVI-объекта			AviFileName:string; LinkToFile:int=1		
GetObjectDescription	Информация	ClassBase	Информация			ObjectListName:string; Class:int=0		
TrainClassifier	TrainClassifier	ClassBase	TrainClassifier			ClassFile:string; ObjectName:string		
ClassifyObjectList	ClassifyObjectList	ClassBase	ClassifyObjectList			ClassFile:string; ObjectName:string; PrevClassFile:string; PrevClasses:string		
SetClass	Назначить класс	Правка	Назначить класс для выбранного объекта			Class:int=-1; ClassFile:string; Deselect:int=0		
AddAllObjectsToTeach	Добавить все объекты для обучения	Классификация	Добавить все объекты на активном изображении в обучающую базу					
AddObjectToTeach	Добавить объект для обучения	Классификация	Добавить объект в обучающую базу - левая кнопка мыши	 (interactive)				
EmptyClassifier	Очистить обучающую базу	Классификация	Очистка обучающей базы классификатора					
TeachClassifier	Обучить классификатор	Классификация	Обучение классификатора по обучающей базе			ShowMessage:int		
ManualClassifyObjects	Ручная классификация	Классификация	Ручная классификация объектов. Укажите класс выбранного объекта	 (interactive)				
ClassifyObjects	Классифицировать объекты	Классификация	Автоматическая классификация всех объектов на активном изображении					
CopyImageToObjects	Обновить список объектов	Преобразования	Обновить список объектов с изображения	 (filter)		Img:Image; ObjOld:Object List	Obj:Object List	
EqualizeAllObj	Контраст хромосом	Преобразования	Контрастирование всех хромосом			Name:string		
UnEqualizeObj	Отменить контраст	Преобразования	Отменить контрастирование выбранной хромосомы - левая кнопка мыши, выход - Esc.	 (interactive)				
EqualizeObj	Контраст хромосомы	Преобразования	Контрастирование указанной хромосомы - левая кнопка мыши	 (interactive)				
Freeze	Заморозка окна	For Developers	Заморозить окно программы			WantToFreeze:int=1; Name:string		
SmoothContour	Сглаживание контуров масок	Filters	Сглаживание контуров масок	 (filter)		MaskSize:int=3; BinImage:Binary	SmoothContour:Binary	
BinMorphDivision2	Binary Division	Binary	Division of the binary image	 (filter)		BinImage:Binary	BinMorphDivision2:Binary	
BinMorphDivision	Разделение масок	Binary	Разделение масок	 (filter)		BinImage:Binary	BinMorphDivision:Binary	
BinDeleteSmallObjects	Удаление мелких масок объектов	Binary	Удаление мелких масок объектов	 (filter)		MinSize:int=5; MinSize2:int=-1; FormThreshold:double=0.3; FillValue:int=0; BinSource:Binary; Flags:int=0	BinResult:Binary	
BinReconstructBack	BinReconstructBack	Binary	BinReconstructBack	 (filter)		BinSource:Binary; BinSeed:Binary	BinReconstructed:Binary	
BinReconstructFore	BinReconstructFore	Binary	BinReconstructFore	 (filter)		BinSource:Binary; BinSeed:Binary	BinReconstructed:Binary	
BinDilateObjects	Дилатация масок без слияния объектов	Binary	Дилатация масок без слияния объектов	 (filter)		DilateCount:int=0; BinImage:Binary	BinResult:Binary	
BinSmooth	Сглаживание масок	Filters	Сглаживание масок	 (filter)		MaskSize:int=9; Level:int=3; BinImage:Binary	BinSmooth:Binary	
BinCustomLogic	BinCustomLogic	Binary	BinCustomLogic	 (filter)		Combinations:int=11; BinSource1:Binary; BinSource2:Binary	CustomLogic:Binary	
BinXor	Объединение масок без пересечения	Маски объектов	Объединение масок без пересечения	 (filter)		BinSource1:Binary; BinSource2:Binary	BinXor:Binary	
BinAnd	Пересечение масок	Маски объектов	Пересечение масок	 (filter)		BinSource1:Binary; BinSource2:Binary	BinAnd:Binary	
BinOr	Объединение масок	Маски объектов	Объединение масок	 (filter)		BinSource1:Binary; BinSource2:Binary	BinOr:Binary	
BinNot	Инвертировать маски	Маски объектов	Инвертировать маски объектов	 (filter)		BinSource1:Binary	BinNot:Binary	
BinClose	Закрытие масок	Binary	Закрытие масок	 (filter)		MaskSize:int=3; BinImage:Binary	BinErode:Binary	
BinOpen	Открытие масок	Binary	Открытие масок	 (filter)		MaskSize:int=3; BinImage:Binary	BinErode:Binary	
BinDilate	Дилатация масок	Binary	Дилатация масок	 (filter)		MaskSize:int=3; BinImage:Binary	BinDilate:Binary	
BinErode	Эрозия масок	Binary	Эрозия масок	 (filter)		MaskSize:int=3; BinImage:Binary	BinErode:Binary	
BinMedian	Медиана масок	Binary	Медиана масок	 (filter)		MaskSize:int=3; BinImage:Binary	BinMedian:Binary	
BinCleanV4	BinCleanV4	Binary	BinCleanV4	 (filter)		BinImage:Binary	CleanV4:Binary	
ImageSubEx	Вычитание изображений	Преобразования	Вычитание изображений	 (filter)		img1:Image; img2:Image	result:Image	
ImageMul	Умножение изображений	Преобразования	Умножение изображений	 (filter)		mul:double=1; img1:Image; img2:Image	result:Image	
ImageDiv	Деление изображений	Преобразования	Деление изображений	 (filter)		mul:double=1; img1:Image; img2:Image	result:Image	
ImageSubLight	Вычитание фона	Преобразования	Устранение неровностей фона на изображении	 (filter)		img1:Image; img2:Image	result:Image	
ImageDiff	Разность изображений	Преобразования	Разность изображений	 (filter)		img1:Image; img2:Image	result:Image	
ImageSub	Вычитание изображений	Преобразования	Вычитание изображений	 (filter)		img1:Image; img2:Image	result:Image	
ImageAdd	Сложение изображений	Преобразования	Сложение изображений	 (filter)		img1:Image; img2:Image	result:Image	
ImageCombine	Комбинировать изображения	Filters	Комбинировать два изображения	 (filter)		ShowInterface:int=1; A:double=1; B:double=0; C:double=0; img1:Image; img2:Image	result:Image	
ApplyLookup	Применить таблицу преобразования цветов к изображению	Internal Actions	Применить таблицу преобразования цветов к изображению	 (filter)		Result:Image	Img:Image	
AutoBC	Автоконтраст	Преобразования	Автоматическое контрастирование изображения	 (filter)		InputBlackLevel:int=0; InputWhiteLevel:int=0; OutputBlackLevel:int=0; OutputWhiteLevel:int=100; Img:Image	Result:Image	
CleanFrame	CleanFrame	Filters	CleanFrame	 (filter)		Mask:int=7; Level:int=8192; CurrentFrame:Image; PrevFrame:Image	Clear:Image	
Sharpness	Sharpness	Фильтры	Sharpness	 (filter)		Strengthening:int=10; Noise:int=0; Img:Image	Sharpness:Image	
MeanEVV	Сглаживание	Преобразования	Сглаживание	 (filter)		mask_size:int=20; nParam:int=100; Img:Image	Result:Image	
EvenV	Выравнивание фона	Преобразования	Выравнивание фона	 (filter)		sqr_number:int=10; even_method:int=0; background_type:int=0; even_brightness:int=0; contrast:int=0; Img:Image	Result:Image	
DilateOnImage	DilateOnImage	Filters	DilateOnImage	 (filter)		Quantity:double=100.0; Tolerance:double=20.0; Image:Image; Seed:Binary	DilateOnImage:Binary	
Signature	Signature	Security	Signature	 (filter)		ImgSrc:Image	ImgResult:Image	
Watermark	Watermark	Security	Watermark	 (filter)		Mark:int=1; ImgSrc:Image; ImgMark:Image	ImgResult:Image	
TopHat	TopHat	Filters	TopHat	 (filter)		Mask:int=15; FindDark:int=1; Img:Image	TopHat:Image	
FindNuclei	FindNuclei	Filters	Find Nuclei	 (filter)		Img:Image	Result:Image	
AreaSeg	AreaSeg	Filters	Area Segmentation	 (filter)		smooth:int=4; k9:double=3; min_obj_size:double=1.0; bg_selection_method:int=3; bg_expand_method:int=2; bg_expand_level:double=0.1; Img:Image	Result:Binary	
ColorSeg	ColorSeg	Filters	Color Segmentation	 (filter)		preset:int=1; seg_colors:int=0; radius:int=5; n_min:int=400; n_min1:int=200; n_con:int=30; count_lim:int=5; Img:Image	Result:Binary	
EvenAAM	Выравнивание фона	Преобразования	Выравнивание фона	 (filter)		sqr_size:int=32; even_method:int=4; background_type:int=0; even_brightness:int=0; max_contrast:double=1; auto_contrast:int=0; Img:Image	Result:Image	
CloseByReconstructionAAM	Закрытие с реконструкцией	Преобразования	Закрытие с реконструкцией	 (filter)		Seed:Image; Img:Image	Result:Image	
OpenByReconstructionAAM	Открытие с реконструкцией	Преобразования	Открытие с реконструкцией	 (filter)		Seed:Image; Img:Image	Result:Image	
DoubleEdge	DoubleEdge thresholding	Filters	DoubleEdge thresholding	 (filter)		Tmin:int=30000; Tmax:int=50000; Img:Image	Result:Binary	
Variance	Вариации	Filters	Вариации	 (filter)		AddToSource:int=0; Img:Image	Result:Image	
Gradient	Градиент	Filters	Градиент	 (filter)		AddToSource:int=0; Img:Image	Result:Image	
MeanKNV	Сглаживание по размеру	Filters	Сглаживание по размеру	 (filter)		nMaskSize:int=20; nParam:int=100; Img:Image	Result:Image	
MeanEV	Сглаживание по яркости	Filters	Сглаживание по яркости	 (filter)		mask_size:int=20; nParam:int=10000; Img:Image	Result:Image	
AutoContrast	Автоконтраст	Filters	Автоконтраст	 (filter)		string_values1:string; string_values2:string; Img:Image	Result:Image	
ColorBalance	Цветовой баланс	Filters	Коррекция цвета изображения	 (filter)		string_valeus:string; Img:Image	Result:Image	
CloseByReconstruction	Close by Reconstruction	Filters	Close by reconstruction	 (filter)		mask_size:int=5; mask_type:int=1; color_epsilon:int=0; Img:Image	Result:Image	
