ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
ObjectNew	Новый элемент...	Правка	Создание нового элемента в активном документе Новый элемент			Type:string; Name:string; ActivateObject:int=1		
ObjectSelect	Выбрать элемент	Правка	Выбор существующего элемента Выбрать элемент			Object:string; ActivateType:int=0		
ObjectDelete	Удалить элемент(ы)	Правка	Удаление элементов, выбранных в окне Содержание Удалить выбранные элементы			Object:string		
ObjectRename	Переименовать элемент...	Правка	Переименование элемента Переименовать элемент			OldName:string; NewName:string		
ObjectProperties	Свойства элемента	Правка	Свойства элемента Свойства элемента			Object:string		
ObjectLoad	Загрузить элемент	Файл	Загрузить новый элемент Загрузить элемент			Type:string; Path:string; ActivateObject:int=1		
ObjectSave	Сохранить элемент как...	Файл	Сохранение элемента в отдельном файле Сохранить элемент как			ObjectName:string; Path:string		
ObjectOrganize	Организовать элементы	Правка	Организовать элементы Организовать элементы					
ObjectMoveToApp	Переместить элемент в приложение	Правка	Перемещение элемента из документа в приложение Переместить элемент в приложение			ObjectName:string		
ObjectMoveToDoc	Переместить элемент в документ	Правка	Перемещение элемента из приложения в документ Переместить элемент в документ			ObjectName:string		
EditPaste	Вставить	Правка	Вставить элемент из буфера обмена Вставить					
EditCut	Вырезать	Правка	Переместить  элемент в буфер обмена Вырезать			ObjectName:string		
EditCopy	Копировать	Правка	Копирование элемента в буфер обмена Копировать			ObjectName:string		
ObjectDrag	ObjectDrag	По умолчанию	ObjectDrag ObjectDrag			xOffset:int=0; yOffset:int=0		
ObjectDrop	ObjectDrop	По умолчанию	ObjectDrop ObjectDrop			PositionX:int=0; PositionY:int=0; Copy:int=0		
ObjectDeleteSelection	Удалить активный объект	Правка	Удаление активного объекта Удалить активный объект					
DataShowContents	Показать сожержание данных...	For Developers	Показать сожержание данных Показать сожержание данных					
DataUnselect	Снять выделение всех объектов	Internal Actions	Снять выделение всех объектов Снять выделение всех объектов					
ShowContext	Окно Содержание	Вид	Показать окно Содержание документа Окно Содержание					
ChooseObject	Выбрать объект...	Правка	Выбрать объект Выбрать объект					
GridObjectHeight	Высота строки	---	Высота строки Высота строки			ObjectRow:int=-1; Height:int=100		
CopyAllMeasCell	Копировать все ячейкиl	Измерения	Копировать все ячейки Копировать все ячейки					
CopySelectedMeasCell	Копировать выбранные ячейкиl	Измерения	Копировать выбранные ячейки Копировать выбранные ячейки					
AlignGridByImage	Выровнять сетку по изображению	Измерения	Выровнять сетку по изображению Выровнять сетку по изображению					
RemoveParam	Удалить столбец ручных измерений	Измерения	Удаление выбранных результатов ручных измерений из списка объектов Удалить столбец ручных измерений			ParamKey:int=-1		
CreateNewParam	Создать новый параметр измерений	Internal Actions	Создать новый параметр для ручных измерений Создать новый параметр измерений			ParamType:string; ParamName:string; Number:int=1		
ShowClassView	Показать классы	Вид	Показать классы Показать классы					
ShowMeasView	Таблица измерений	Вид	Показать результаты измерений Таблица измерений					
ZoomInTable	Увеличить на 10 %	Вид	Увеличить на 10 % Увеличить на 10%					
ZoomOutTable	Уменьшить на 10 %	Вид	Уменьшить на 10 % Уменьшить на 10 %					
RemoveMMObjects	Удалить все	Измерения	Удаление всех результатов ручных измерений из активного списка Удалить все			ObjList:string		
AlignGridByCell	Выравнивание по выделенной ячейке	Вид	Выравнивание размера всех ячеек таблицы по выделенной Выравнивание по выделенной ячейке			CellRow:int=-1; CellCol:int=-1		
AlignGridDefault	Выравнивание по умолчанию	Вид	Выравнивание размера всех ячеек таблицы по умолчанию Выравнивание по умолчанию					
GridMoveParam	Переместить колонку	---	Переместить колонку Переместить колонку			ParamKey:int=-1; ParamKeyAfter:int=100		
GridParamWidth	Ширина колонки	---	Ширина колонки Ширина колонки			ParamKey:int=-1; Width:int=100		
GridRenameParam	Переименовать параметр	---	Переименовать параметр Переименовать параметр			ParamKey:int=-1; Name:string=NewName		
